,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000013559434,2.7431148898509514,3.531971174402481,6.1826075706350005,3.7948641810981663,3.278283618824874,3.0138801512269806,3.0105108666365967
ZINC000013744635,3.5988865336041123,4.021831105804192,6.016131647824987,3.9947658751809634,3.6695058387531296,3.785793282533266,3.8440132482156
ZINC000261494715,0.8677886333123511,2.353822520131579,5.658184464368574,3.1422035672552027,2.463169204323035,1.593378546401413,1.1085295446881076
ZINC000000001950,4.873755660875866,5.5740063603661065,7.929284591013743,3.0455942990332114,3.2345978346422246,3.474856533973165,4.966453755547386
ZINC000000004285,6.037092604499704,6.217301209840932,7.7573268707241025,4.662914185351143,4.702259767338217,5.310840599255297,6.227535638298392
ZINC000000391820,7.698157735571262,8.151357142569198,10.168676649373332,6.400038687310775,6.346243038470128,6.67224422759993,7.890166049813831
ZINC000000155911,5.39845621572714,5.509114342382827,6.54486412378057,3.9498084494330916,4.153143536398457,4.868559991305693,5.577814207664311
ZINC000000154803,4.967226339014711,5.246802671007464,6.425218269513077,5.079808066757746,4.915259667133307,5.17433842709201,5.217485853421164
ZINC000000005898,7.698157735571262,8.151357142569198,10.168676649373332,6.400038687310775,6.346243038470128,6.67224422759993,7.890166049813831
ZINC000000898237,3.9121219172340953,4.630256146652394,6.915394062985499,2.316757141732036,2.640057180387787,2.9141452412699085,3.976047940528535
ZINC000000004726,6.445420844542087,6.823392887005691,8.015789054111032,3.8353447664964175,4.519876865312651,5.188243937166403,6.508203171160452
ZINC000000896938,3.520227568199146,4.567621357219891,6.881266437258441,2.8265902532290177,3.0003156337495467,2.860050034413419,3.6054554249999464
ZINC000072190231,1.2818000833135805,1.483139991745917,4.889521346165496,3.699007705688547,2.919254835526313,2.29384655779032,1.2678922872303757
ZINC000247910405,2.0366627475251886,1.2664510278634409,4.240991425252992,3.2484377901354557,2.5293664181275375,2.4256390071599103,1.9891121871453397
ZINC000002011568,5.571169809783555,5.144413238475251,5.639084929011274,3.263067510788794,3.689898377965173,4.873304766870613,5.676088023877409
ZINC000003978654,2.6303718110389824,4.063380130797944,6.912823332600165,4.286156315823871,3.8169692901168113,3.0390739430061977,2.860235368533901
ZINC000095618660,1.7173332832817343,3.1953359863756123,6.312415925518577,3.685973233111793,3.0893618499416013,2.2228775869454043,1.9629895622906897
ZINC000095618690,0.9333353726800837,2.2703993363103017,5.638160470069329,2.745506972268365,2.0637615608886395,1.1808629461605844,1.0723158813488898
ZINC000095618727,5.070162517124227,5.673772340782973,7.947874030975515,5.49424524851233,5.065427880405877,4.988862338107787,5.3371386624697505
ZINC000095618587,1.2263840652835984,2.7716255225138973,6.076239623255126,3.4441274429974515,2.7935458318524238,1.8730876749629197,1.4620340790108604
ZINC000095618599,4.940503983809216,6.479647428836263,9.640601179515388,5.808773695770994,5.3842996969654395,4.407162704627966,5.097320176250727
ZINC000095618609,2.3894941718524003,3.8619764165710913,7.0300952093967135,3.864898314184508,3.365023483227541,2.2113182717269173,2.4312083646673988
ZINC000095618628,1.5336930363751806,3.0462225394485,6.304981965263891,3.8706821096549464,3.1998990395398406,2.271537327439711,1.79603918422183
ZINC000095618644,1.4298917338200459,2.4664328895838694,5.078368948076459,3.0587497810726973,2.7159229437599937,2.2908029349761225,1.5402022499291437
ZINC000095618671,4.098597575423996,5.359519555717797,7.957096888702,4.850287338606802,4.586663370480679,4.079230749789372,4.306682318858309
ZINC000095618712,2.3441976873012123,4.119624818673604,7.321446818750335,4.501510949691277,3.9959681259928495,2.7776537135163113,2.4419083738232814
ZINC000095618742,4.310068588984885,4.880423047940154,6.534299268101041,2.1410037924717296,2.938621038295356,3.3659272946660246,4.293415891900774
ZINC000095618777,1.6222379691634492,2.864911684907848,6.059641925893031,3.519364698155801,2.819131719488438,2.080382151587292,1.9130909755307361
ZINC000095618779,3.830494024369274,4.227160325038157,6.4785944053000994,4.474456165757103,4.0066661448350445,4.028984704242115,4.090408763822804
ZINC000095618804,2.0849557312595928,1.2627661025817876,4.1625544129311125,3.2527818047788983,2.562845443075761,2.4917092684282425,2.0277210187493346
ZINC000095618810,1.795783800835151,1.1755937456615035,4.310488479029001,3.082574574281556,2.3471352601464024,2.2010065695348255,1.7615865352306856
ZINC000095618829,2.5835978530365957,3.2430105458349163,6.074202758154322,3.9250937240268753,3.244636718715349,2.9384782526355844,2.8756889990904226
ZINC000096077883,4.909759567069168,6.066928977918512,8.781180139209038,4.2283924769820445,4.1478074371581775,3.758190496395867,5.036183491742711
ZINC000095618757,4.023262366887924,4.389720060546756,6.6095180495345955,4.63787463234051,4.132157508936955,4.161074591960157,4.295436853123025
ZINC000095618882,0.8548880544003518,1.472982150805589,5.0773418596424,3.280276633904455,2.452981848291409,1.7440343304946162,0.9315105246831725
ZINC000095618892,4.207769297676668,5.332475631208643,8.117099715164352,5.29926893124734,4.788268024838244,4.235464512542718,4.470391758980871
ZINC000095618900,0.6441206245972193,1.8324749337764954,5.1727647716183265,3.0884208466305694,2.353610233789931,1.6099857583399766,0.8645413486634727
ZINC000095618908,4.291404113980261,5.257198079362521,7.924454375324495,3.7421907623724135,3.5449202654317165,3.362576386074326,4.465910661082884
ZINC000095618918,5.002006444233005,5.044621176617619,6.2802306664493805,3.20011666161035,3.4987952613724644,4.340190669750284,5.139445651767929
ZINC000000000546,4.786523975017517,5.698396900426427,7.751369464645885,3.2811006494568637,3.6577455552765827,3.7198719217233998,4.861724857776441
ZINC000095618765,1.6113605813613834,3.1045540406281456,6.405826495085695,3.5349545538282263,2.8531471730524114,1.8688352559302024,1.8519551979714532
ZINC000095618591,2.7113643048043565,4.158657799995115,7.391340125196284,4.279874103152327,3.6167108943244566,2.6282510852304086,2.9532477063612386
ZINC000095618603,5.982105025571214,6.548071112045603,8.784658691555524,5.2386293366020285,5.028746554727714,5.197396862386609,6.201739393874046
ZINC000095618620,1.7578103614599025,2.8706140605306913,5.687481896683719,2.8233996233839256,2.4740329719577026,2.0555161001828464,1.898117524014999
ZINC000095618639,2.428404630813657,3.8633541149985025,6.709953936699767,4.208941252791044,3.7180142893649046,2.9273893276679304,2.668228424898524
ZINC000095618648,3.504431563003802,4.346670216497594,7.063134082691567,4.546688435546251,4.03131838741449,3.6992715973110526,3.7561426040233
ZINC000095618675,4.4697510154480735,5.506367406836071,8.191877462567286,5.417976717214593,4.922025460750548,4.4559186501320145,4.738666689942066
ZINC000095618716,2.1159691065524546,3.8480107307572027,6.8897231840637465,4.280185063542486,3.833143287338069,2.7000880500628965,2.190581956641648
ZINC000247910418,2.0366627475251886,1.2664510278634409,4.240991425252992,3.2484377901354557,2.5293664181275375,2.4256390071599103,1.9891121871453397
ZINC000001851195,2.7343576605550792,4.232014229125226,7.215637926219148,4.125815836716795,3.6443808155276685,2.770653008890467,2.951026519663925
ZINC000013454202,2.9177652280766884,3.794577689851531,5.714439540725267,3.302087354611178,3.2394522951390585,3.1024643548159863,3.0707063031889352
ZINC000094303244,1.7170173802660105,1.8264731861388406,5.422080257435451,4.104469544888033,3.2037526352017713,2.484925572007667,1.7067537176000271
ZINC000095618575,0.9436705605227639,2.414370893115994,5.610663333176043,3.0808492005180583,2.4842684129508807,1.6937922598444548,1.1618022299655495
ZINC000095618672,1.438776991839615,1.583199738102093,4.1481153244439,3.2327184513345624,2.8037535827617663,2.564256735012157,1.4161360118558972
