,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000004214288,288.297818568205,464.36836464491597,420.5037014433731,147.35741990275002,272.9993911566917,295.72457224530785,295.22814081299106
ZINC000004215770,130.47615869509295,46.22653375311777,13.794215497896847,271.0597706436204,145.41432371776486,123.29974847657179,123.1857592797549
ZINC000005162878,498.27984665812215,674.3704036733527,630.4696076966536,357.3237977839045,482.98590832067873,505.676337514251,505.2358427677833
ZINC000150345354,198.16590500636374,24.938562887588766,65.52624461027307,338.6171274228206,213.10575179575923,191.05574998330934,190.61793499855332
ZINC000003841623,20.868225500660333,195.97619022143783,152.74931409782752,121.09534122626957,4.749354696580986,28.435149200182938,27.378741956290618
ZINC000003842702,23.58299611603765,189.98170957930924,149.4083087346987,131.31719636385455,25.962620370151786,26.724057124251473,35.4860918311171
ZINC000003870221,422.60230277463484,598.6872123284041,554.7917305099644,281.64356869712805,407.304942805812,430.00715522630003,429.54867663668887
ZINC000003914617,313.2036289385148,489.19240477585356,445.18323191473917,172.2495677739823,297.8468027013696,320.65266431277325,320.0075784024743
ZINC000004626804,417.8670551546134,593.9503456112542,550.009084599594,276.92665489270337,402.57923688705614,425.2803448034049,424.7976408862547
ZINC000006092213,669.8210960548512,845.9628935825804,802.0892689301116,528.9110073433927,654.5776939993412,677.1975890662087,676.8485549121599
ZINC000003948738,417.1323258366805,592.7994219031414,548.3623080856753,276.28903380231964,401.63951254782705,424.6375690315034,423.5936018366432
ZINC000003952216,21.969874222385755,163.31642756270418,118.91645646795698,154.7224074266696,31.150782245887733,20.63223207951277,9.790426031715974
ZINC000004214260,448.67347386437467,624.7526256910227,580.7960324659822,307.726923603423,433.3799711627199,456.0855757972131,455.5956210385112
ZINC000004214493,374.49570511996797,550.714032855444,507.2933259514453,233.84634288117147,359.40286223343577,381.8133952389077,381.83374982333294
ZINC000004217604,418.1552504153025,594.0169927271456,549.7779400759089,277.21109359849964,402.73390828283453,425.6247443943558,424.80204992640836
